song,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,34,32,57,78,0,20,3
Mockingbird,Eminem,1,2004,1,1,12985,61,62,24,67,21,0,13,28
Without Me,Eminem,1,2002,1,1,21081,43,92,67,66,0,0,36,9
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,95,78,66,3,0,4,6
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,70,6,73,1,0,36,26
Stan,"Eminem, Dido",2,1999,11,21,17115,0,78,53,74,4,0,45,21
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,80,64,76,2,0,20,6
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,93,61,74,9,0,17,8
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,92,62,86,11,0,24,24
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,55,10,85,7,0,8,20
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,65,46,47,12,0,13,16
Bite Me,ENHYPEN,1,2023,5,22,349,69,80,69,78,28,0,11,14
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,60,40,89,9,0,60,6
Polaroid Love,ENHYPEN,1,2022,1,10,461,0,74,65,67,46,0,36,4
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,67,83,76,48,0,8,3
Pepas,Farruko,1,2021,6,24,14114,17,76,44,77,1,0,13,3
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,74,61,83,11,0,35,6
Normal,Feid,1,2022,7,8,2461,36,71,59,56,4,0,27,12
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,65,71,56,4,0,15,20
Ferxxo 100,Feid,1,2022,6,3,1647,30,70,58,57,25,0,15,7
Prohibidox,Feid,1,2022,9,13,1473,12,65,52,80,5,0,6,25
Lady Mi Amor,Feid,1,2022,9,13,330,0,78,75,62,6,0,15,6
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,83,63,74,14,0,16,6
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,76,46,79,31,0,7,6
